#src dst src_tor dst_tor start_time flow_size compute_time stage_index
544 256 14 5 2313622129 1833333334 1238769231 0
256 2080 5 62 2313622129 1833333334 1238769231 0
2080 1792 62 53 2313622129 1833333334 1238769231 0
1792 160 53 2 2313622129 1833333334 1238769231 0
160 1600 2 47 2313622129 1833333334 1238769231 0
1600 352 47 8 2313622129 1833333334 1238769231 0
352 928 8 26 2313622129 1833333334 1238769231 0
928 544 26 14 2313622129 1833333334 1238769231 0
545 257 14 5 2313622129 1833333334 1238769231 1
257 2081 5 62 2313622129 1833333334 1238769231 1
2081 1793 62 53 2313622129 1833333334 1238769231 1
1793 161 53 2 2313622129 1833333334 1238769231 1
161 1601 2 47 2313622129 1833333334 1238769231 1
1601 353 47 8 2313622129 1833333334 1238769231 1
353 929 8 26 2313622129 1833333334 1238769231 1
929 545 26 14 2313622129 1833333334 1238769231 1
546 258 14 5 2313622129 1833333334 1238769231 2
258 2082 5 62 2313622129 1833333334 1238769231 2
2082 1794 62 53 2313622129 1833333334 1238769231 2
1794 162 53 2 2313622129 1833333334 1238769231 2
162 1602 2 47 2313622129 1833333334 1238769231 2
1602 354 47 8 2313622129 1833333334 1238769231 2
354 930 8 26 2313622129 1833333334 1238769231 2
930 546 26 14 2313622129 1833333334 1238769231 2
547 259 14 5 2313622129 1833333334 1238769231 3
259 2083 5 62 2313622129 1833333334 1238769231 3
2083 1795 62 53 2313622129 1833333334 1238769231 3
1795 163 53 2 2313622129 1833333334 1238769231 3
163 1603 2 47 2313622129 1833333334 1238769231 3
1603 355 47 8 2313622129 1833333334 1238769231 3
355 931 8 26 2313622129 1833333334 1238769231 3
931 547 26 14 2313622129 1833333334 1238769231 3
548 260 14 5 2313622129 1833333334 1238769231 4
260 2084 5 62 2313622129 1833333334 1238769231 4
2084 1796 62 53 2313622129 1833333334 1238769231 4
1796 164 53 2 2313622129 1833333334 1238769231 4
164 1604 2 47 2313622129 1833333334 1238769231 4
1604 356 47 8 2313622129 1833333334 1238769231 4
356 932 8 26 2313622129 1833333334 1238769231 4
932 548 26 14 2313622129 1833333334 1238769231 4
549 261 14 5 2313622129 1833333334 1238769231 5
261 2085 5 62 2313622129 1833333334 1238769231 5
2085 1797 62 53 2313622129 1833333334 1238769231 5
1797 165 53 2 2313622129 1833333334 1238769231 5
165 1605 2 47 2313622129 1833333334 1238769231 5
1605 357 47 8 2313622129 1833333334 1238769231 5
357 933 8 26 2313622129 1833333334 1238769231 5
933 549 26 14 2313622129 1833333334 1238769231 5
550 262 14 5 2313622129 1833333334 1238769231 6
262 2086 5 62 2313622129 1833333334 1238769231 6
2086 1798 62 53 2313622129 1833333334 1238769231 6
1798 166 53 2 2313622129 1833333334 1238769231 6
166 1606 2 47 2313622129 1833333334 1238769231 6
