#src dst src_tor dst_tor start_time flow_size compute_time stage_index
1600 576 47 15 12345029459 1093750000 2692307693 0
576 1600 15 47 12345029459 1093750000 2692307693 0
1601 577 47 15 12345029459 1093750000 2692307693 1
577 1601 15 47 12345029459 1093750000 2692307693 1
1602 578 47 15 12345029459 1093750000 2692307693 2
578 1602 15 47 12345029459 1093750000 2692307693 2
1603 579 47 15 12345029459 1093750000 2692307693 3
579 1603 15 47 12345029459 1093750000 2692307693 3
1604 580 47 15 12345029459 1093750000 2692307693 4
580 1604 15 47 12345029459 1093750000 2692307693 4
1605 581 47 15 12345029459 1093750000 2692307693 5
581 1605 15 47 12345029459 1093750000 2692307693 5
1606 582 47 15 12345029459 1093750000 2692307693 6
582 1606 15 47 12345029459 1093750000 2692307693 6
1607 583 47 15 12345029459 1093750000 2692307693 7
583 1607 15 47 12345029459 1093750000 2692307693 7
1608 584 47 15 12345029459 1093750000 2692307693 8
584 1608 15 47 12345029459 1093750000 2692307693 8
1609 585 47 15 12345029459 1093750000 2692307693 9
585 1609 15 47 12345029459 1093750000 2692307693 9
1610 586 47 15 12345029459 1093750000 2692307693 10
586 1610 15 47 12345029459 1093750000 2692307693 10
1611 587 47 15 12345029459 1093750000 2692307693 11
587 1611 15 47 12345029459 1093750000 2692307693 11
1612 588 47 15 12345029459 1093750000 2692307693 12
588 1612 15 47 12345029459 1093750000 2692307693 12
1613 589 47 15 12345029459 1093750000 2692307693 13
589 1613 15 47 12345029459 1093750000 2692307693 13
1614 590 47 15 12345029459 1093750000 2692307693 14
590 1614 15 47 12345029459 1093750000 2692307693 14
1615 591 47 15 12345029459 1093750000 2692307693 15
591 1615 15 47 12345029459 1093750000 2692307693 15
1616 592 47 15 12345029459 1093750000 2692307693 16
592 1616 15 47 12345029459 1093750000 2692307693 16
1617 593 47 15 12345029459 1093750000 2692307693 17
593 1617 15 47 12345029459 1093750000 2692307693 17
1618 594 47 15 12345029459 1093750000 2692307693 18
594 1618 15 47 12345029459 1093750000 2692307693 18
1619 595 47 15 12345029459 1093750000 2692307693 19
595 1619 15 47 12345029459 1093750000 2692307693 19
1620 596 47 15 12345029459 1093750000 2692307693 20
596 1620 15 47 12345029459 1093750000 2692307693 20
1621 597 47 15 12345029459 1093750000 2692307693 21
597 1621 15 47 12345029459 1093750000 2692307693 21
1622 598 47 15 12345029459 1093750000 2692307693 22
598 1622 15 47 12345029459 1093750000 2692307693 22
1623 599 47 15 12345029459 1093750000 2692307693 23
599 1623 15 47 12345029459 1093750000 2692307693 23
1624 600 47 15 12345029459 1093750000 2692307693 24
600 1624 15 47 12345029459 1093750000 2692307693 24
1625 601 47 15 12345029459 1093750000 2692307693 25
601 1625 15 47 12345029459 1093750000 2692307693 25
1626 602 47 15 12345029459 1093750000 2692307693 26
602 1626 15 47 12345029459 1093750000 2692307693 26
1627 603 47 15 12345029459 1093750000 2692307693 27
603 1627 15 47 12345029459 1093750000 2692307693 27
1628 604 47 15 12345029459 1093750000 2692307693 28
604 1628 15 47 12345029459 1093750000 2692307693 28
1629 605 47 15 12345029459 1093750000 2692307693 29
605 1629 15 47 12345029459 1093750000 2692307693 29
1630 606 47 15 12345029459 1093750000 2692307693 30
606 1630 15 47 12345029459 1093750000 2692307693 30
1631 607 47 15 12345029459 1093750000 2692307693 31
607 1631 15 47 12345029459 1093750000 2692307693 31
1312 416 38 10 12345029459 1093750000 2692307693 32
416 1312 10 38 12345029459 1093750000 2692307693 32
1313 417 38 10 12345029459 1093750000 2692307693 33
417 1313 10 38 12345029459 1093750000 2692307693 33
1314 418 38 10 12345029459 1093750000 2692307693 34
418 1314 10 38 12345029459 1093750000 2692307693 34
1315 419 38 10 12345029459 1093750000 2692307693 35
419 1315 10 38 12345029459 1093750000 2692307693 35
1316 420 38 10 12345029459 1093750000 2692307693 36
420 1316 10 38 12345029459 1093750000 2692307693 36
1317 421 38 10 12345029459 1093750000 2692307693 37
421 1317 10 38 12345029459 1093750000 2692307693 37
1318 422 38 10 12345029459 1093750000 2692307693 38
422 1318 10 38 12345029459 1093750000 2692307693 38
1319 423 38 10 12345029459 1093750000 2692307693 39
423 1319 10 38 12345029459 1093750000 2692307693 39
1320 424 38 10 12345029459 1093750000 2692307693 40
424 1320 10 38 12345029459 1093750000 2692307693 40
1321 425 38 10 12345029459 1093750000 2692307693 41
425 1321 10 38 12345029459 1093750000 2692307693 41
1322 426 38 10 12345029459 1093750000 2692307693 42
426 1322 10 38 12345029459 1093750000 2692307693 42
1323 427 38 10 12345029459 1093750000 2692307693 43
427 1323 10 38 12345029459 1093750000 2692307693 43
1324 428 38 10 12345029459 1093750000 2692307693 44
428 1324 10 38 12345029459 1093750000 2692307693 44
1325 429 38 10 12345029459 1093750000 2692307693 45
429 1325 10 38 12345029459 1093750000 2692307693 45
1326 430 38 10 12345029459 1093750000 2692307693 46
430 1326 10 38 12345029459 1093750000 2692307693 46
1327 431 38 10 12345029459 1093750000 2692307693 47
431 1327 10 38 12345029459 1093750000 2692307693 47
1328 432 38 10 12345029459 1093750000 2692307693 48
432 1328 10 38 12345029459 1093750000 2692307693 48
1329 433 38 10 12345029459 1093750000 2692307693 49
433 1329 10 38 12345029459 1093750000 2692307693 49
1330 434 38 10 12345029459 1093750000 2692307693 50
434 1330 10 38 12345029459 1093750000 2692307693 50
1331 435 38 10 12345029459 1093750000 2692307693 51
435 1331 10 38 12345029459 1093750000 2692307693 51
1332 436 38 10 12345029459 1093750000 2692307693 52
436 1332 10 38 12345029459 1093750000 2692307693 52
1333 437 38 10 12345029459 1093750000 2692307693 53
437 1333 10 38 12345029459 1093750000 2692307693 53
1334 438 38 10 12345029459 1093750000 2692307693 54
438 1334 10 38 12345029459 1093750000 2692307693 54
1335 439 38 10 12345029459 1093750000 2692307693 55
439 1335 10 38 12345029459 1093750000 2692307693 55
1336 440 38 10 12345029459 1093750000 2692307693 56
440 1336 10 38 12345029459 1093750000 2692307693 56
1337 441 38 10 12345029459 1093750000 2692307693 57
441 1337 10 38 12345029459 1093750000 2692307693 57
1338 442 38 10 12345029459 1093750000 2692307693 58
442 1338 10 38 12345029459 1093750000 2692307693 58
1339 443 38 10 12345029459 1093750000 2692307693 59
443 1339 10 38 12345029459 1093750000 2692307693 59
1340 444 38 10 12345029459 1093750000 2692307693 60
444 1340 10 38 12345029459 1093750000 2692307693 60
1341 445 38 10 12345029459 1093750000 2692307693 61
445 1341 10 38 12345029459 1093750000 2692307693 61
1342 446 38 10 12345029459 1093750000 2692307693 62
446 1342 10 38 12345029459 1093750000 2692307693 62
1343 447 38 10 12345029459 1093750000 2692307693 63
447 1343 10 38 12345029459 1093750000 2692307693 63
1664 736 49 20 12345029459 1093750000 2692307693 64
736 1664 20 49 12345029459 1093750000 2692307693 64
1665 737 49 20 12345029459 1093750000 2692307693 65
737 1665 20 49 12345029459 1093750000 2692307693 65
1666 738 49 20 12345029459 1093750000 2692307693 66
738 1666 20 49 12345029459 1093750000 2692307693 66
1667 739 49 20 12345029459 1093750000 2692307693 67
739 1667 20 49 12345029459 1093750000 2692307693 67
1668 740 49 20 12345029459 1093750000 2692307693 68
740 1668 20 49 12345029459 1093750000 2692307693 68
1669 741 49 20 12345029459 1093750000 2692307693 69
741 1669 20 49 12345029459 1093750000 2692307693 69
1670 742 49 20 12345029459 1093750000 2692307693 70
742 1670 20 49 12345029459 1093750000 2692307693 70
1671 743 49 20 12345029459 1093750000 2692307693 71
743 1671 20 49 12345029459 1093750000 2692307693 71
1672 744 49 20 12345029459 1093750000 2692307693 72
744 1672 20 49 12345029459 1093750000 2692307693 72
1673 745 49 20 12345029459 1093750000 2692307693 73
745 1673 20 49 12345029459 1093750000 2692307693 73
1674 746 49 20 12345029459 1093750000 2692307693 74
746 1674 20 49 12345029459 1093750000 2692307693 74
1675 747 49 20 12345029459 1093750000 2692307693 75
747 1675 20 49 12345029459 1093750000 2692307693 75
1676 748 49 20 12345029459 1093750000 2692307693 76
748 1676 20 49 12345029459 1093750000 2692307693 76
