#src dst src_tor dst_tor start_time flow_size compute_time stage_index
544 256 14 5 10978710563 7333333334 1238769231 0
256 544 5 14 10978710563 7333333334 1238769231 0
545 257 14 5 10978710563 7333333334 1238769231 1
257 545 5 14 10978710563 7333333334 1238769231 1
546 258 14 5 10978710563 7333333334 1238769231 2
258 546 5 14 10978710563 7333333334 1238769231 2
547 259 14 5 10978710563 7333333334 1238769231 3
259 547 5 14 10978710563 7333333334 1238769231 3
548 260 14 5 10978710563 7333333334 1238769231 4
260 548 5 14 10978710563 7333333334 1238769231 4
549 261 14 5 10978710563 7333333334 1238769231 5
261 549 5 14 10978710563 7333333334 1238769231 5
550 262 14 5 10978710563 7333333334 1238769231 6
262 550 5 14 10978710563 7333333334 1238769231 6
551 263 14 5 10978710563 7333333334 1238769231 7
263 551 5 14 10978710563 7333333334 1238769231 7
552 264 14 5 10978710563 7333333334 1238769231 8
264 552 5 14 10978710563 7333333334 1238769231 8
553 265 14 5 10978710563 7333333334 1238769231 9
265 553 5 14 10978710563 7333333334 1238769231 9
554 266 14 5 10978710563 7333333334 1238769231 10
266 554 5 14 10978710563 7333333334 1238769231 10
555 267 14 5 10978710563 7333333334 1238769231 11
267 555 5 14 10978710563 7333333334 1238769231 11
556 268 14 5 10978710563 7333333334 1238769231 12
268 556 5 14 10978710563 7333333334 1238769231 12
557 269 14 5 10978710563 7333333334 1238769231 13
269 557 5 14 10978710563 7333333334 1238769231 13
558 270 14 5 10978710563 7333333334 1238769231 14
270 558 5 14 10978710563 7333333334 1238769231 14
559 271 14 5 10978710563 7333333334 1238769231 15
271 559 5 14 10978710563 7333333334 1238769231 15
560 272 14 5 10978710563 7333333334 1238769231 16
272 560 5 14 10978710563 7333333334 1238769231 16
561 273 14 5 10978710563 7333333334 1238769231 17
273 561 5 14 10978710563 7333333334 1238769231 17
562 274 14 5 10978710563 7333333334 1238769231 18
274 562 5 14 10978710563 7333333334 1238769231 18
563 275 14 5 10978710563 7333333334 1238769231 19
275 563 5 14 10978710563 7333333334 1238769231 19
564 276 14 5 10978710563 7333333334 1238769231 20
276 564 5 14 10978710563 7333333334 1238769231 20
565 277 14 5 10978710563 7333333334 1238769231 21
277 565 5 14 10978710563 7333333334 1238769231 21
566 278 14 5 10978710563 7333333334 1238769231 22
278 566 5 14 10978710563 7333333334 1238769231 22
567 279 14 5 10978710563 7333333334 1238769231 23
279 567 5 14 10978710563 7333333334 1238769231 23
568 280 14 5 10978710563 7333333334 1238769231 24
280 568 5 14 10978710563 7333333334 1238769231 24
569 281 14 5 10978710563 7333333334 1238769231 25
281 569 5 14 10978710563 7333333334 1238769231 25
570 282 14 5 10978710563 7333333334 1238769231 26
282 570 5 14 10978710563 7333333334 1238769231 26
571 283 14 5 10978710563 7333333334 1238769231 27
283 571 5 14 10978710563 7333333334 1238769231 27
572 284 14 5 10978710563 7333333334 1238769231 28
284 572 5 14 10978710563 7333333334 1238769231 28
573 285 14 5 10978710563 7333333334 1238769231 29
285 573 5 14 10978710563 7333333334 1238769231 29
574 286 14 5 10978710563 7333333334 1238769231 30
286 574 5 14 10978710563 7333333334 1238769231 30
575 287 14 5 10978710563 7333333334 1238769231 31
287 575 5 14 10978710563 7333333334 1238769231 31
96 2016 0 60 10978710563 7333333334 1238769231 32
2016 96 60 0 10978710563 7333333334 1238769231 32
97 2017 0 60 10978710563 7333333334 1238769231 33
2017 97 60 0 10978710563 7333333334 1238769231 33
98 2018 0 60 10978710563 7333333334 1238769231 34
2018 98 60 0 10978710563 7333333334 1238769231 34
99 2019 0 60 10978710563 7333333334 1238769231 35
2019 99 60 0 10978710563 7333333334 1238769231 35
100 2020 0 60 10978710563 7333333334 1238769231 36
2020 100 60 0 10978710563 7333333334 1238769231 36
101 2021 0 60 10978710563 7333333334 1238769231 37
2021 101 60 0 10978710563 7333333334 1238769231 37
102 2022 0 60 10978710563 7333333334 1238769231 38
2022 102 60 0 10978710563 7333333334 1238769231 38
103 2023 0 60 10978710563 7333333334 1238769231 39
2023 103 60 0 10978710563 7333333334 1238769231 39
104 2024 0 60 10978710563 7333333334 1238769231 40
2024 104 60 0 10978710563 7333333334 1238769231 40
105 2025 0 60 10978710563 7333333334 1238769231 41
2025 105 60 0 10978710563 7333333334 1238769231 41
106 2026 0 60 10978710563 7333333334 1238769231 42
2026 106 60 0 10978710563 7333333334 1238769231 42
107 2027 0 60 10978710563 7333333334 1238769231 43
2027 107 60 0 10978710563 7333333334 1238769231 43
108 2028 0 60 10978710563 7333333334 1238769231 44
2028 108 60 0 10978710563 7333333334 1238769231 44
109 2029 0 60 10978710563 7333333334 1238769231 45
2029 109 60 0 10978710563 7333333334 1238769231 45
110 2030 0 60 10978710563 7333333334 1238769231 46
2030 110 60 0 10978710563 7333333334 1238769231 46
111 2031 0 60 10978710563 7333333334 1238769231 47
2031 111 60 0 10978710563 7333333334 1238769231 47
