#src dst src_tor dst_tor start_time flow_size compute_time stage_index
1888 1632 56 48 6502002228 5468750000 1009615385 0
1632 1888 48 56 6502002228 5468750000 1009615385 0
1889 1633 56 48 6502002228 5468750000 1009615385 1
1633 1889 48 56 6502002228 5468750000 1009615385 1
1890 1634 56 48 6502002228 5468750000 1009615385 2
1634 1890 48 56 6502002228 5468750000 1009615385 2
1891 1635 56 48 6502002228 5468750000 1009615385 3
1635 1891 48 56 6502002228 5468750000 1009615385 3
1892 1636 56 48 6502002228 5468750000 1009615385 4
1636 1892 48 56 6502002228 5468750000 1009615385 4
1893 1637 56 48 6502002228 5468750000 1009615385 5
1637 1893 48 56 6502002228 5468750000 1009615385 5
1894 1638 56 48 6502002228 5468750000 1009615385 6
1638 1894 48 56 6502002228 5468750000 1009615385 6
1895 1639 56 48 6502002228 5468750000 1009615385 7
1639 1895 48 56 6502002228 5468750000 1009615385 7
1896 1640 56 48 6502002228 5468750000 1009615385 8
1640 1896 48 56 6502002228 5468750000 1009615385 8
1897 1641 56 48 6502002228 5468750000 1009615385 9
1641 1897 48 56 6502002228 5468750000 1009615385 9
1898 1642 56 48 6502002228 5468750000 1009615385 10
1642 1898 48 56 6502002228 5468750000 1009615385 10
1899 1643 56 48 6502002228 5468750000 1009615385 11
1643 1899 48 56 6502002228 5468750000 1009615385 11
1900 1644 56 48 6502002228 5468750000 1009615385 12
1644 1900 48 56 6502002228 5468750000 1009615385 12
1901 1645 56 48 6502002228 5468750000 1009615385 13
1645 1901 48 56 6502002228 5468750000 1009615385 13
1902 1646 56 48 6502002228 5468750000 1009615385 14
1646 1902 48 56 6502002228 5468750000 1009615385 14
1903 1647 56 48 6502002228 5468750000 1009615385 15
1647 1903 48 56 6502002228 5468750000 1009615385 15
1904 1648 56 48 6502002228 5468750000 1009615385 16
1648 1904 48 56 6502002228 5468750000 1009615385 16
1905 1649 56 48 6502002228 5468750000 1009615385 17
1649 1905 48 56 6502002228 5468750000 1009615385 17
1906 1650 56 48 6502002228 5468750000 1009615385 18
1650 1906 48 56 6502002228 5468750000 1009615385 18
1907 1651 56 48 6502002228 5468750000 1009615385 19
1651 1907 48 56 6502002228 5468750000 1009615385 19
1908 1652 56 48 6502002228 5468750000 1009615385 20
1652 1908 48 56 6502002228 5468750000 1009615385 20
1909 1653 56 48 6502002228 5468750000 1009615385 21
1653 1909 48 56 6502002228 5468750000 1009615385 21
1910 1654 56 48 6502002228 5468750000 1009615385 22
1654 1910 48 56 6502002228 5468750000 1009615385 22
1911 1655 56 48 6502002228 5468750000 1009615385 23
1655 1911 48 56 6502002228 5468750000 1009615385 23
1912 1656 56 48 6502002228 5468750000 1009615385 24
1656 1912 48 56 6502002228 5468750000 1009615385 24
1913 1657 56 48 6502002228 5468750000 1009615385 25
1657 1913 48 56 6502002228 5468750000 1009615385 25
1914 1658 56 48 6502002228 5468750000 1009615385 26
1658 1914 48 56 6502002228 5468750000 1009615385 26
1915 1659 56 48 6502002228 5468750000 1009615385 27
1659 1915 48 56 6502002228 5468750000 1009615385 27
1916 1660 56 48 6502002228 5468750000 1009615385 28
1660 1916 48 56 6502002228 5468750000 1009615385 28
1917 1661 56 48 6502002228 5468750000 1009615385 29
1661 1917 48 56 6502002228 5468750000 1009615385 29
1918 1662 56 48 6502002228 5468750000 1009615385 30
1662 1918 48 56 6502002228 5468750000 1009615385 30
1919 1663 56 48 6502002228 5468750000 1009615385 31
1663 1919 48 56 6502002228 5468750000 1009615385 31
448 1952 11 58 6502002228 5468750000 1009615385 32
1952 448 58 11 6502002228 5468750000 1009615385 32
449 1953 11 58 6502002228 5468750000 1009615385 33
1953 449 58 11 6502002228 5468750000 1009615385 33
450 1954 11 58 6502002228 5468750000 1009615385 34
1954 450 58 11 6502002228 5468750000 1009615385 34
451 1955 11 58 6502002228 5468750000 1009615385 35
1955 451 58 11 6502002228 5468750000 1009615385 35
452 1956 11 58 6502002228 5468750000 1009615385 36
1956 452 58 11 6502002228 5468750000 1009615385 36
453 1957 11 58 6502002228 5468750000 1009615385 37
1957 453 58 11 6502002228 5468750000 1009615385 37
454 1958 11 58 6502002228 5468750000 1009615385 38
1958 454 58 11 6502002228 5468750000 1009615385 38
455 1959 11 58 6502002228 5468750000 1009615385 39
1959 455 58 11 6502002228 5468750000 1009615385 39
456 1960 11 58 6502002228 5468750000 1009615385 40
1960 456 58 11 6502002228 5468750000 1009615385 40
457 1961 11 58 6502002228 5468750000 1009615385 41
1961 457 58 11 6502002228 5468750000 1009615385 41
458 1962 11 58 6502002228 5468750000 1009615385 42
1962 458 58 11 6502002228 5468750000 1009615385 42
459 1963 11 58 6502002228 5468750000 1009615385 43
1963 459 58 11 6502002228 5468750000 1009615385 43
460 1964 11 58 6502002228 5468750000 1009615385 44
1964 460 58 11 6502002228 5468750000 1009615385 44
461 1965 11 58 6502002228 5468750000 1009615385 45
1965 461 58 11 6502002228 5468750000 1009615385 45
462 1966 11 58 6502002228 5468750000 1009615385 46
1966 462 58 11 6502002228 5468750000 1009615385 46
463 1967 11 58 6502002228 5468750000 1009615385 47
1967 463 58 11 6502002228 5468750000 1009615385 47
464 1968 11 58 6502002228 5468750000 1009615385 48
1968 464 58 11 6502002228 5468750000 1009615385 48
465 1969 11 58 6502002228 5468750000 1009615385 49
1969 465 58 11 6502002228 5468750000 1009615385 49
466 1970 11 58 6502002228 5468750000 1009615385 50
1970 466 58 11 6502002228 5468750000 1009615385 50
467 1971 11 58 6502002228 5468750000 1009615385 51
1971 467 58 11 6502002228 5468750000 1009615385 51
468 1972 11 58 6502002228 5468750000 1009615385 52
1972 468 58 11 6502002228 5468750000 1009615385 52
469 1973 11 58 6502002228 5468750000 1009615385 53
1973 469 58 11 6502002228 5468750000 1009615385 53
470 1974 11 58 6502002228 5468750000 1009615385 54
1974 470 58 11 6502002228 5468750000 1009615385 54
471 1975 11 58 6502002228 5468750000 1009615385 55
1975 471 58 11 6502002228 5468750000 1009615385 55
472 1976 11 58 6502002228 5468750000 1009615385 56
1976 472 58 11 6502002228 5468750000 1009615385 56
473 1977 11 58 6502002228 5468750000 1009615385 57
1977 473 58 11 6502002228 5468750000 1009615385 57
474 1978 11 58 6502002228 5468750000 1009615385 58
1978 474 58 11 6502002228 5468750000 1009615385 58
475 1979 11 58 6502002228 5468750000 1009615385 59
1979 475 58 11 6502002228 5468750000 1009615385 59
476 1980 11 58 6502002228 5468750000 1009615385 60
1980 476 58 11 6502002228 5468750000 1009615385 60
477 1981 11 58 6502002228 5468750000 1009615385 61
1981 477 58 11 6502002228 5468750000 1009615385 61
478 1982 11 58 6502002228 5468750000 1009615385 62
1982 478 58 11 6502002228 5468750000 1009615385 62
479 1983 11 58 6502002228 5468750000 1009615385 63
1983 479 58 11 6502002228 5468750000 1009615385 63
