#src dst src_tor dst_tor start_time flow_size compute_time stage_index
608 1984 16 59 10330285946 2734375000 1009615385 0
1984 864 59 24 10330285946 2734375000 1009615385 0
864 960 24 27 10330285946 2734375000 1009615385 0
960 608 27 16 10330285946 2734375000 1009615385 0
609 1985 16 59 10330285946 2734375000 1009615385 1
1985 865 59 24 10330285946 2734375000 1009615385 1
865 961 24 27 10330285946 2734375000 1009615385 1
961 609 27 16 10330285946 2734375000 1009615385 1
610 1986 16 59 10330285946 2734375000 1009615385 2
1986 866 59 24 10330285946 2734375000 1009615385 2
866 962 24 27 10330285946 2734375000 1009615385 2
962 610 27 16 10330285946 2734375000 1009615385 2
611 1987 16 59 10330285946 2734375000 1009615385 3
1987 867 59 24 10330285946 2734375000 1009615385 3
867 963 24 27 10330285946 2734375000 1009615385 3
963 611 27 16 10330285946 2734375000 1009615385 3
612 1988 16 59 10330285946 2734375000 1009615385 4
1988 868 59 24 10330285946 2734375000 1009615385 4
868 964 24 27 10330285946 2734375000 1009615385 4
964 612 27 16 10330285946 2734375000 1009615385 4
613 1989 16 59 10330285946 2734375000 1009615385 5
1989 869 59 24 10330285946 2734375000 1009615385 5
869 965 24 27 10330285946 2734375000 1009615385 5
965 613 27 16 10330285946 2734375000 1009615385 5
614 1990 16 59 10330285946 2734375000 1009615385 6
1990 870 59 24 10330285946 2734375000 1009615385 6
870 966 24 27 10330285946 2734375000 1009615385 6
966 614 27 16 10330285946 2734375000 1009615385 6
615 1991 16 59 10330285946 2734375000 1009615385 7
1991 871 59 24 10330285946 2734375000 1009615385 7
871 967 24 27 10330285946 2734375000 1009615385 7
967 615 27 16 10330285946 2734375000 1009615385 7
616 1992 16 59 10330285946 2734375000 1009615385 8
1992 872 59 24 10330285946 2734375000 1009615385 8
872 968 24 27 10330285946 2734375000 1009615385 8
968 616 27 16 10330285946 2734375000 1009615385 8
617 1993 16 59 10330285946 2734375000 1009615385 9
1993 873 59 24 10330285946 2734375000 1009615385 9
873 969 24 27 10330285946 2734375000 1009615385 9
969 617 27 16 10330285946 2734375000 1009615385 9
618 1994 16 59 10330285946 2734375000 1009615385 10
1994 874 59 24 10330285946 2734375000 1009615385 10
874 970 24 27 10330285946 2734375000 1009615385 10
970 618 27 16 10330285946 2734375000 1009615385 10
619 1995 16 59 10330285946 2734375000 1009615385 11
1995 875 59 24 10330285946 2734375000 1009615385 11
875 971 24 27 10330285946 2734375000 1009615385 11
971 619 27 16 10330285946 2734375000 1009615385 11
620 1996 16 59 10330285946 2734375000 1009615385 12
1996 876 59 24 10330285946 2734375000 1009615385 12
876 972 24 27 10330285946 2734375000 1009615385 12
972 620 27 16 10330285946 2734375000 1009615385 12
621 1997 16 59 10330285946 2734375000 1009615385 13
1997 877 59 24 10330285946 2734375000 1009615385 13
877 973 24 27 10330285946 2734375000 1009615385 13
973 621 27 16 10330285946 2734375000 1009615385 13
622 1998 16 59 10330285946 2734375000 1009615385 14
1998 878 59 24 10330285946 2734375000 1009615385 14
878 974 24 27 10330285946 2734375000 1009615385 14
974 622 27 16 10330285946 2734375000 1009615385 14
623 1999 16 59 10330285946 2734375000 1009615385 15
1999 879 59 24 10330285946 2734375000 1009615385 15
879 975 24 27 10330285946 2734375000 1009615385 15
975 623 27 16 10330285946 2734375000 1009615385 15
624 2000 16 59 10330285946 2734375000 1009615385 16
2000 880 59 24 10330285946 2734375000 1009615385 16
880 976 24 27 10330285946 2734375000 1009615385 16
976 624 27 16 10330285946 2734375000 1009615385 16
625 2001 16 59 10330285946 2734375000 1009615385 17
2001 881 59 24 10330285946 2734375000 1009615385 17
881 977 24 27 10330285946 2734375000 1009615385 17
977 625 27 16 10330285946 2734375000 1009615385 17
626 2002 16 59 10330285946 2734375000 1009615385 18
2002 882 59 24 10330285946 2734375000 1009615385 18
882 978 24 27 10330285946 2734375000 1009615385 18
978 626 27 16 10330285946 2734375000 1009615385 18
627 2003 16 59 10330285946 2734375000 1009615385 19
2003 883 59 24 10330285946 2734375000 1009615385 19
883 979 24 27 10330285946 2734375000 1009615385 19
979 627 27 16 10330285946 2734375000 1009615385 19
628 2004 16 59 10330285946 2734375000 1009615385 20
2004 884 59 24 10330285946 2734375000 1009615385 20
884 980 24 27 10330285946 2734375000 1009615385 20
980 628 27 16 10330285946 2734375000 1009615385 20
629 2005 16 59 10330285946 2734375000 1009615385 21
2005 885 59 24 10330285946 2734375000 1009615385 21
885 981 24 27 10330285946 2734375000 1009615385 21
981 629 27 16 10330285946 2734375000 1009615385 21
630 2006 16 59 10330285946 2734375000 1009615385 22
2006 886 59 24 10330285946 2734375000 1009615385 22
886 982 24 27 10330285946 2734375000 1009615385 22
982 630 27 16 10330285946 2734375000 1009615385 22
631 2007 16 59 10330285946 2734375000 1009615385 23
2007 887 59 24 10330285946 2734375000 1009615385 23
887 983 24 27 10330285946 2734375000 1009615385 23
983 631 27 16 10330285946 2734375000 1009615385 23
632 2008 16 59 10330285946 2734375000 1009615385 24
2008 888 59 24 10330285946 2734375000 1009615385 24
888 984 24 27 10330285946 2734375000 1009615385 24
984 632 27 16 10330285946 2734375000 1009615385 24
633 2009 16 59 10330285946 2734375000 1009615385 25
2009 889 59 24 10330285946 2734375000 1009615385 25
889 985 24 27 10330285946 2734375000 1009615385 25
985 633 27 16 10330285946 2734375000 1009615385 25
634 2010 16 59 10330285946 2734375000 1009615385 26
2010 890 59 24 10330285946 2734375000 1009615385 26
890 986 24 27 10330285946 2734375000 1009615385 26
986 634 27 16 10330285946 2734375000 1009615385 26
635 2011 16 59 10330285946 2734375000 1009615385 27
2011 891 59 24 10330285946 2734375000 1009615385 27
891 987 24 27 10330285946 2734375000 1009615385 27
987 635 27 16 10330285946 2734375000 1009615385 27
636 2012 16 59 10330285946 2734375000 1009615385 28
2012 892 59 24 10330285946 2734375000 1009615385 28
892 988 24 27 10330285946 2734375000 1009615385 28
988 636 27 16 10330285946 2734375000 1009615385 28
637 2013 16 59 10330285946 2734375000 1009615385 29
2013 893 59 24 10330285946 2734375000 1009615385 29
893 989 24 27 10330285946 2734375000 1009615385 29
989 637 27 16 10330285946 2734375000 1009615385 29
638 2014 16 59 10330285946 2734375000 1009615385 30
2014 894 59 24 10330285946 2734375000 1009615385 30
894 990 24 27 10330285946 2734375000 1009615385 30
990 638 27 16 10330285946 2734375000 1009615385 30
639 2015 16 59 10330285946 2734375000 1009615385 31
2015 895 59 24 10330285946 2734375000 1009615385 31
895 991 24 27 10330285946 2734375000 1009615385 31
991 639 27 16 10330285946 2734375000 1009615385 31
800 1024 22 29 10330285946 2734375000 1009615385 32
1024 1520 29 44 10330285946 2734375000 1009615385 32
1520 224 44 4 10330285946 2734375000 1009615385 32
224 800 4 22 10330285946 2734375000 1009615385 32
801 1025 22 29 10330285946 2734375000 1009615385 33
1025 1521 29 44 10330285946 2734375000 1009615385 33
1521 225 44 4 10330285946 2734375000 1009615385 33
225 801 4 22 10330285946 2734375000 1009615385 33
802 1026 22 29 10330285946 2734375000 1009615385 34
1026 1522 29 44 10330285946 2734375000 1009615385 34
1522 226 44 4 10330285946 2734375000 1009615385 34
226 802 4 22 10330285946 2734375000 1009615385 34
803 1027 22 29 10330285946 2734375000 1009615385 35
1027 1523 29 44 10330285946 2734375000 1009615385 35
1523 227 44 4 10330285946 2734375000 1009615385 35
227 803 4 22 10330285946 2734375000 1009615385 35
804 1028 22 29 10330285946 2734375000 1009615385 36
1028 1524 29 44 10330285946 2734375000 1009615385 36
1524 228 44 4 10330285946 2734375000 1009615385 36
228 804 4 22 10330285946 2734375000 1009615385 36
805 1029 22 29 10330285946 2734375000 1009615385 37
1029 1525 29 44 10330285946 2734375000 1009615385 37
